condition,quantity,model,index,x_he,y,yerr
800_7000,integrand_he,N2P2,10,0.359375,4.54200746e-09,0.00721021308
800_7000,integrand_he,N2P2,11,0.328125,6.40618386e-10,0.00295550581
800_7000,integrand_he,N2P2,12,0.296875,2.16952943e-09,0.00810407295
800_7000,integrand_he,N2P2,13,0.265625,3.81830931e-09,0.00699424338
800_7000,integrand_he,N2P2,14,0.21875,1.1857703e-10,0.000897298537
800_7000,integrand_he,N2P2,15,0.203125,3.81286182e-09,0.00825121487
800_7000,integrand_he,N2P2,16,0.1875,0.00767137936,0.00249386499
800_7000,integrand_he,N2P2,17,0.171875,0.040989144,0.00836027755
800_7000,integrand_he,N2P2,18,0.15625,0.111105412,0.0131028895
800_7000,integrand_he,N2P2,19,0.140625,0.13774184,0.00484536745
800_7000,integrand_he,N2P2,20,0.109375,0.300103566,0.0170227122
800_7000,integrand_he,N2P2,21,0.078125,0.423595206,0.022658665
800_7000,integrand_he,N2P2,22,0.046875,0.596386162,0.0630124045
800_7000,integrand_he,N2P2,23,0.015625,0.969424916,0.201962177
800_7000,mu_he,N2P2,0,0.984375,-0.00528038042,0.000298823851
800_7000,mu_he,N2P2,1,0.953125,-0.0141140196,0.000837064217
800_7000,mu_he,N2P2,2,0.921875,-0.0205939165,0.000907258518
800_7000,mu_he,N2P2,3,0.859375,-0.0282593398,0.00111809415
800_7000,mu_he,N2P2,4,0.796875,-0.0309498378,0.00112145384
800_7000,mu_he,N2P2,5,0.734375,-0.0313230974,0.00102328917
800_7000,mu_he,N2P2,6,0.609375,-0.0313230974,0.000934130964
800_7000,mu_he,N2P2,7,0.546875,-0.0313230972,0.000864837179
800_7000,mu_he,N2P2,8,0.484375,-0.0313230981,0.000808982809
800_7000,mu_he,N2P2,9,0.453125,-0.0313230976,0.000762714899
800_7000,mu_he,N2P2,10,0.421875,-0.0313230979,0.000723574858
800_7000,mu_he,N2P2,11,0.390625,-0.0313231013,0.000689901448
800_7000,mu_he,N2P2,12,0.359375,-0.0313230979,0.000660530588
800_7000,mu_he,N2P2,13,0.328125,-0.0313231012,0.000634617389
800_7000,mu_he,N2P2,14,0.296875,-0.0313230981,0.000611532581
800_7000,mu_he,N2P2,15,0.265625,-0.0313230988,0.000590796107
800_7000,mu_he,N2P2,16,0.21875,-0.0313230987,0.000572036413
800_7000,mu_he,N2P2,17,0.203125,-0.0313230998,0.000554956764
800_7000,mu_he,N2P2,18,0.1875,-0.0315092514,0.000552796736
800_7000,mu_he,N2P2,19,0.171875,-0.0327928364,0.000605261259
800_7000,mu_he,N2P2,20,0.15625,-0.0371875052,0.00074003033
800_7000,mu_he,N2P2,21,0.140625,-0.045135978,0.000860389253
800_7000,mu_he,N2P2,22,0.109375,-0.078494841,0.00119340629
800_7000,mu_he,N2P2,23,0.078125,-0.152315701,0.00191651313
800_7000,mu_he,N2P2,24,0.046875,-0.31027246,0.00353110963
800_7000,mu_he,N2P2,25,0.015625,-0.831775218,0.0101808935
800_7000,mu_h,N2P2,0,0.984375,-0.529249636,0.0354374307
800_7000,mu_h,N2P2,1,0.953125,-0.228429124,0.0171082152
800_7000,mu_h,N2P2,2,0.921875,-0.129135483,0.00726488452
800_7000,mu_h,N2P2,3,0.859375,-0.0649566167,0.00277262398
800_7000,mu_h,N2P2,4,0.796875,-0.0518537657,0.00165529117
800_7000,mu_h,N2P2,5,0.734375,-0.0506278324,0.00141409183
800_7000,mu_h,N2P2,6,0.609375,-0.0506278322,0.00129088509
800_7000,mu_h,N2P2,7,0.546875,-0.0506278323,0.00119512534
800_7000,mu_h,N2P2,8,0.484375,-0.0506278279,0.00111793745
800_7000,mu_h,N2P2,9,0.453125,-0.0506278308,0.00105400149
800_7000,mu_h,N2P2,10,0.421875,-0.0506278308,0.000999913576
800_7000,mu_h,N2P2,11,0.390625,-0.0506278313,0.000953380075
800_7000,mu_h,N2P2,12,0.359375,-0.0506278338,0.000912793323
800_7000,mu_h,N2P2,13,0.328125,-0.0506278284,0.000876982373
800_7000,mu_h,N2P2,14,0.296875,-0.050628211,0.000845081014
800_7000,mu_h,N2P2,15,0.265625,-0.0506278322,0.000816425915
800_7000,mu_h,N2P2,16,0.21875,-0.0506278341,0.000790501113
800_7000,mu_h,N2P2,17,0.203125,-0.0506278316,0.000766898593
800_7000,mu_h,N2P2,18,0.1875,-0.050582671,0.000742022321
800_7000,mu_h,N2P2,19,0.171875,-0.0503016727,0.000707518439
800_7000,mu_h,N2P2,20,0.15625,-0.0494397956,0.000660166804
800_7000,mu_h,N2P2,21,0.140625,-0.0480555236,0.000620190038
800_7000,mu_h,N2P2,22,0.109375,-0.0433143948,0.000555793134
800_7000,mu_h,N2P2,23,0.078125,-0.0357482315,0.00046677043
800_7000,mu_h,N2P2,24,0.046875,-0.0254400029,0.000348940842
800_7000,mu_h,N2P2,25,0.015625,-0.0101260196,0.000144524181
800_7000,integrand_he,MACE,0,0.984375,0.451274865,0.173553319
800_7000,integrand_he,MACE,1,0.953125,0.436497922,0.0914380985
800_7000,integrand_he,MACE,2,0.921875,0.318709739,0.0352064685
800_7000,integrand_he,MACE,3,0.859375,0.125043741,0.0101292265
800_7000,integrand_he,MACE,4,0.796875,0.0130485334,0.00216006628
800_7000,integrand_he,MACE,5,0.734375,0.00153296648,0.00128279116
800_7000,integrand_he,MACE,6,0.609375,1.89845843e-08,0.044576089
800_7000,integrand_he,MACE,7,0.546875,1.66421465e-09,0.00525621221
800_7000,integrand_he,MACE,8,0.484375,2.58849441e-09,0.00736286576
800_7000,integrand_he,MACE,9,0.453125,2.72399497e-09,0.00620185889
800_7000,integrand_he,MACE,10,0.421875,1.66354982e-09,0.00801839607
800_7000,integrand_he,MACE,11,0.390625,3.63085675e-09,0.0075641204
800_7000,integrand_he,MACE,12,0.359375,4.84972494e-09,0.00725605095
800_7000,integrand_he,MACE,13,0.328125,1.49251036e-09,0.0100486142
800_7000,integrand_he,MACE,14,0.296875,6.40560311e-10,0.00300166518
800_7000,integrand_he,MACE,15,0.265625,2.92080729e-09,0.00535193124
800_7000,integrand_he,MACE,16,0.234375,4.64322393e-10,0.00236447288
800_7000,integrand_he,MACE,17,0.21875,1.5104781e-10,0.00170611547
800_7000,integrand_he,MACE,18,0.203125,7.36376677e-09,0.00622433959
800_7000,integrand_he,MACE,19,0.1875,-1.3216454e-09,0.0141252647
800_7000,integrand_he,MACE,20,0.171875,0.0277742724,0.00285307242
800_7000,integrand_he,MACE,21,0.15625,0.0387625297,0.00203382409
800_7000,integrand_he,MACE,22,0.140625,0.0999831693,0.00534989414
800_7000,integrand_he,MACE,23,0.109375,0.255785681,0.0307508712
800_7000,integrand_he,MACE,24,0.078125,0.484942038,0.0222589411
800_7000,integrand_he,MACE,25,0.046875,0.639627495,0.0370742125
800_7000,integrand_he,MACE,26,0.015625,0.877336584,0.103174194
