#x_He	T[K]	v[A^3/atom]	p[Mbar]]	u[eV/atom]
0.71875	2000	1.95122	3.6766	1.10992
0.71875	2000	1.56098	6.02261	2.17137
0.75	2000	8	0.127812	-1.14055
0.75	2000	4.69971	0.505874	-0.746216
0.75	2000	4	0.73973	-0.535991
0.75	2000	3.52398	0.993146	-0.335724
0.75	2000	2.96144	1.49059	0.0258996
0.75	2000	2.66667	1.86893	0.274567
0.75	2000	2.28571	2.68459	0.758054
0.75	2000	2	3.62519	1.24827
0.75	2000	1.6	5.92913	2.29862
0.78125	2000	8.20513	0.121527	-1.01458
0.78125	2000	4.76536	0.496996	-0.602353
0.78125	2000	4.10256	0.721691	-0.41311
0.78125	2000	3.57926	0.994589	-0.186115
0.78125	2000	3.00908	1.47708	0.170275
0.78125	2000	2.73504	1.83581	0.39552
0.78125	2000	2.34432	2.63295	0.883276
0.78125	2000	2.05128	3.54746	1.37353
0.78125	2000	1.64103	5.84475	2.43844
0.8125	2000	8.42105	0.124082	-0.86792
0.8125	2000	4.82185	0.500999	-0.450469
0.8125	2000	4.21053	0.693938	-0.277578
0.8125	2000	3.61198	1.00735	-0.0204083
0.8125	2000	3.03944	1.50106	0.338272
0.8125	2000	2.80702	1.8064	0.545201
0.8125	2000	2.40602	2.57304	1.02136
0.8125	2000	2.10526	3.48812	1.51592
0.8125	2000	1.68421	5.74059	2.5809
0.84375	2000	8.64865	0.117472	-0.700923
0.84375	2000	4.91955	0.503791	-0.287275
0.84375	2000	4.32432	0.685146	-0.129912
0.84375	2000	3.69282	0.990689	0.125887
0.84375	2000	3.10668	1.48333	0.49862
0.84375	2000	2.88288	1.76387	0.693643
0.84375	2000	2.47104	2.5335	1.16912
0.84375	2000	2.16216	3.39582	1.6364
0.84375	2000	1.72973	5.64426	2.73781
0.875	2000	8.88889	0.120352	-0.541176
0.875	2000	5.00302	0.498701	-0.134439
0.875	2000	4.44444	0.664836	0.0261315
0.875	2000	3.74368	0.994925	0.308138
0.875	2000	3.14979	1.49776	0.683806
0.875	2000	2.96296	1.72557	0.843976
0.875	2000	2.53968	2.46818	1.31559
0.875	2000	2.22222	3.27364	1.7278
0.875	2000	1.77778	5.55193	2.90788
0.90625	2000	9.14286	0.122473	-0.36812
0.90625	2000	5.06597	0.502179	0.0499983
0.90625	2000	4.57143	0.638182	0.182883
0.90625	2000	3.78176	1.0129	0.501462
0.90625	2000	3.18584	1.5102	0.878537
0.90625	2000	3.04762	1.68721	1.00513
0.90625	2000	2.61224	2.41121	1.47525
0.90625	2000	2.28571	3.28268	1.9831
0.90625	2000	1.82857	5.45211	3.07679
0.9375	2000	9.41176	0.109522	-0.193455
0.9375	2000	5.09802	0.514836	0.256642
0.9375	2000	4.70588	0.607595	0.335198
0.9375	2000	3.82807	1.03058	0.708488
0.9375	2000	3.23115	1.53665	1.09962
0.9375	2000	3.13725	1.64546	1.17736
0.9375	2000	2.68908	2.35825	1.64895
0.9375	2000	2.35294	3.14278	2.07365
0.9375	2000	1.88235	5.34337	3.25861
0.96875	2000	9.69697	0.113583	-0.00417482
0.96875	2000	5.26608	0.49949	0.435358
0.96875	2000	4.84848	0.609189	0.540916
0.96875	2000	3.93465	1.00202	0.888677
0.96875	2000	3.31206	1.51362	1.28984
0.96875	2000	3.23232	1.60189	1.3559
0.96875	2000	2.77056	2.26286	1.77988
0.96875	2000	2.42424	3.03815	2.21869
0.96875	2000	1.93939	5.24134	3.45341
1	2000	10	0.10907	0.181428
1	2000	5.35353	0.499472	0.645622
1	2000	5	0.589238	0.734715
1	2000	4.00753	1.00594	1.11328
1	2000	3.37803	1.50763	1.5072
1	2000	3.33333	1.55621	1.54346
