section,panel,functional,series,x_he,x,y,y2
source,ALL,,Jupiter_Nettelmann,,7.26950729812782,10.720927414534778,
source,ALL,,Jupiter_Nettelmann,,7.381395526924338,10.774715361551824,
source,ALL,,Jupiter_Nettelmann,,7.493285038695616,10.826768213503808,
source,ALL,,Jupiter_Nettelmann,,7.605176474929035,10.87621842285819,
source,ALL,,Jupiter_Nettelmann,,7.717065345212932,10.929138822342706,
source,ALL,,Jupiter_Nettelmann,,7.828954215496832,10.98205922182722,
source,ALL,,Jupiter_Nettelmann,,7.940845010242869,11.032376978714137,
source,ALL,,Jupiter_Nettelmann,,8.052735163501527,11.083562283133585,
source,ALL,,Jupiter_Nettelmann,,8.164623392298045,11.137350230150632,
source,ALL,,Jupiter_Nettelmann,,8.276514828531463,11.186800439505015,
source,ALL,,Jupiter_Nettelmann,,8.388404340302742,11.238853291456998,
source,ALL,,Jupiter_Nettelmann,,8.5002944935614,11.290038595876446,
source,ALL,,Jupiter_Nettelmann,,8.612184005332677,11.342091447828428,
source,ALL,,Jupiter_Nettelmann,,8.724075441566097,11.391541657182811,
source,ALL,,Jupiter_Nettelmann,,8.835964953337374,11.443594509134794,
source,ALL,,Jupiter_Nettelmann,,8.947856389570791,11.493044718489177,
source,ALL,,Jupiter_Nettelmann,,9.043460375697718,11.551980114199251,
source,ALL,,Jupiter_Nettelmann,,9.151293206810363,11.585872304470213,
source,ALL,,Jupiter_Nettelmann,,9.26318464304378,11.635322513824594,
source,ALL,,Jupiter_Nettelmann,,9.37507543778982,11.68564027071151,
source,ALL,,Jupiter_Nettelmann,,9.486967836254308,11.733789158767092,
source,ALL,,Jupiter_Nettelmann,,9.598866008105215,11.77413011902988,
source,ALL,,Jupiter_Nettelmann,,9.71076321772505,11.815772400591465,
source,ALL,,Jupiter_Nettelmann,,9.82264835503188,11.873741278265298,
